course_code,course_name,course_name_eng,professor_name,major_division,classification,grade,major_level,major_department,offering_department,day,start_time,end_time,location,credit,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,John Finucane,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,20:00:00,22:00:00,서울 제2공학관 305강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,John Finucane,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,20:00:00,22:00:00,서울 제2공학관 305강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,Brian A. Wildeboer,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,20:00:00,22:00:00,서울 제2공학관 306강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,Brian A. Wildeboer,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,20:00:00,22:00:00,서울 제2공학관 306강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,Joshua Huewe,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,20:00:00,22:00:00,서울 제2공학관 307강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,Joshua Huewe,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,20:00:00,22:00:00,서울 제2공학관 307강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,Caroline Sommerville Ward,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,20:00:00,22:00:00,서울 제2공학관 308강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,Caroline Sommerville Ward,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,20:00:00,22:00:00,서울 제2공학관 308강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,Ed Topliffe,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,20:00:00,22:00:00,서울 제2공학관 309강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,Ed Topliffe,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,20:00:00,22:00:00,서울 제2공학관 309강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,Younghwa Choi-Hong,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,20:00:00,22:00:00,서울 제1공학관 206강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,Younghwa Choi-Hong,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,20:00:00,22:00:00,서울 제1공학관 206강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,Nathan John Lucas,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,20:00:00,22:00:00,서울 제1공학관 207강의실,3,,
APS1007,영어토론과발표,Academic English Presentation and Discussion,Nathan John Lucas,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(대학영어교육위원회),목,20:00:00,22:00:00,서울 제1공학관 207강의실,3,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,오윤정,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),토,9:00:00,10:00:00,서울 제2공학관 203강의실,3,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,오윤정,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),토,9:00:00,10:00:00,서울 제2공학관 203강의실,3,,
APS1008,과학기술의철학적탐색,Philosophical Exploration of Science and Technology,오윤정,교양필수,영역없음,1,100,산업융합학부,창의융합교육원(과학철학교육위원회),토,10:00:00,12:00:00,서울 제2공학관 203강의실,3,,
